Bouguenais,47.1775,-1.6214,19658
Sceaux,48.7786,2.2906,19606
Moulins,46.5647,3.3325,19563
La Chapelle-sur-Erdre,47.2989,-1.5528,19526
Joinville-le-Pont,48.8214,2.4728,19516
Concarneau,47.8753,-3.9189,19502
Mougins,43.6,6.9947,19489
Ronchin,50.6047,3.0878,19477
Sélestat,48.2594,7.4542,19360
Mont-Saint-Aignan,49.4625,1.0872,19262
Saint-Fons,45.7086,4.8533,19254
Albertville,45.6758,6.3925,19214
Le Puy-en-Velay,45.0433,3.885,19061
Saint-Lô,49.1144,-1.0917,19024
Saint-Cyr-l’École,48.8003,2.0625,19011
Riom,45.8936,3.1125,19011
Lingolsheim,48.5575,7.6831,18930
Plaisance-du-Touch,43.5656,1.2964,18888
Villefontaine,45.6133,5.1486,18808
Sorgues,44.0083,4.8725,18802
Vence,43.7225,7.1119,18670
Cognac,45.6958,-0.3292,18628
Hem,50.6553,3.1878,18621
Écully,45.7744,4.7775,18587
Gentilly,48.8133,2.3444,18577
Bruz,48.0247,-1.7458,18516
La Crau,43.1497,6.0742,18506
Royan,45.6231,-1.0431,18499
Hellemmes-Lille,50.6283,3.11,18437
Louviers,49.2153,1.1656,18348
Cran-Gévrier,45.9036,6.1039,18330
Bruges,44.8828,-0.6125,18316
Cugnaux,43.5378,1.3436,18267
Vitré,48.1233,-1.2094,18267
Fécamp,49.7575,0.3792,18251
Soisy-sous-Montmorency,48.9878,2.2997,18243
Brie-Comte-Robert,48.6925,2.6111,18237
Fâches-Thumesnil,50.5989,3.0736,18165
Éragny,49.0172,2.0914,18162
Chennevières-sur-Marne,48.7983,2.5339,18142
Bagnols-sur-Cèze,44.1625,4.62,18072
Bonneuil-sur-Marne,48.7742,2.4875,18045
Lunéville,48.5894,6.5017,18027
Maurepas,48.7628,1.9456,18019
Montceau-les-Mines,46.6669,4.3689,17897
Floirac,44.8364,-0.5258,17882
Moissy-Cramayel,48.6261,2.5922,17882
Ploemeur,47.7358,-3.4311,17790
Garches,48.8456,2.1869,17762
Avion,50.4097,2.8328,17583
Les Clayes-sous-Bois,48.8206,1.9836,17560
Marmande,44.5,0.1653,17534
Le Pré-Saint-Gervais,48.885,2.4039,17485
Meylan,45.2086,5.7794,17448
Châteauneuf-les-Martigues,43.3831,5.1642,17425
Osny,49.0592,2.0625,17402
Carvin,50.4931,2.9581,17399
Pontarlier,46.9061,6.3547,17393
Brignoles,43.4058,6.0617,17364
Lons-le-Saunier,46.6744,5.5539,17320
Cesson-Sévigné,48.1208,-1.6036,17312
Le Pontet,43.9642,4.86,17273
Chamalières,45.7736,3.0669,17210
Verdun,49.1597,5.3828,17161
Limay,48.9933,1.7358,17147
Bischheim,48.6139,7.7519,17137
Juvisy-sur-Orge,48.6883,2.3775,17007
Cluses,46.0603,6.5786,16996
Firminy,45.3881,4.2872,16981
Cestas,44.7444,-0.6822,16936
Bry-sur-Marne,48.8411,2.5222,16919
Hendaye,43.3586,-1.7744,16805
Mauguio,43.6164,4.0075,16735
Lattes,43.5678,3.9021,16710
Sanary-sur-Mer,43.1192,5.8022,16696
Yutz,49.3589,6.1886,16633
Vauréal,49.03,2.0214,16575
Saint-Maximin-la-Sainte-Baume,43.4533,5.8619,16574
Port-de-Bouc,43.405,4.9886,16569
Ambarès-et-Lagrave,44.9247,-0.4867,16563
Balma,43.6103,1.4986,16520
Sallanches,45.9364,6.6319,16508
Boissy-Saint-Léger,48.7503,2.5097,16487
Saint-Jean-de-la-Ruelle,47.9131,1.8733,16445
Viroflay,48.8,2.1722,16406
Saran,47.9514,1.8803,16344
Marly-le-Roi,48.8669,2.0942,16335
Digne-les-Bains,44.0925,6.2356,16333
Annonay,45.24,4.6708,16288
Carrières-sous-Poissy,48.9478,2.0386,16248
Jouy-le-Moutier,49.0108,2.0386,16214
Elbeuf,49.2858,1.0083,16205
Sedan,49.7019,4.9403,16193
L’Isle-d’Abeau,45.6194,5.2331,16169
Le Bourget,48.9344,2.4244,16139
Les Herbiers,46.8711,-1.0136,16135
Vendôme,47.7928,1.0656,16133
Escoublac,47.2858,-2.3922,16117
Guérande,47.3281,-2.4292,16107
Saint-Amand-les-Eaux,50.4481,3.4269,16053
Tourlaville,49.6408,-1.5789,16040
Châteaurenard,43.8825,4.855,16012
Saint-Cyr-sur-Loire,47.4028,0.6781,15991
Verneuil-sur-Seine,48.9797,1.9739,15982
Le Pecq,48.8967,2.1061,15949
Landerneau,48.4508,-4.2494,15914
Hayange,49.3297,6.0619,15888
Le Vésinet,48.8939,2.1322,15865
Hennebont,47.8042,-3.2789,15858
Orsay,48.6981,2.1875,15844
Saint-Leu-la-Forêt,49.0169,2.2464,15829
Saint-Égrève,45.2317,5.6831,15801
Villeneuve-Loubet,43.6581,7.1214,15780
Saint-Pierre-des-Corps,47.3908,0.7281,15766
Beaucaire,43.8072,4.6433,15718
Noisiel,48.8547,2.6289,15676
Montbrison,45.6075,4.0653,15656
Pamiers,43.1164,1.6108,15603
Fos-sur-Mer,43.4544,4.9436,15602
Pornic,47.1156,-2.1033,15570
Montivilliers,49.5461,0.1881,15564
Sin-le-Noble,50.3631,3.1131,15522
Blanquefort,44.9106,-0.6375,15510
Saint-Julien-en-Genevois,46.1442,6.0842,15509
Toul,48.675,5.8917,15470
Lucé,48.4383,1.465,15435
Saint-Avold,49.1042,6.7081,15433
Domont,49.0275,2.3267,15418
Fontainebleau,48.4089,2.7017,15407
Rumilly,45.8667,5.9444,15373
Château-Thierry,49.0464,3.4031,15351
Gaillac,43.9006,1.8983,15345
Sainte-Luce-sur-Loire,47.2494,-1.4867,15238
Bois-d’Arcy,48.8014,2.0317,15220
Issoire,45.5442,3.2489,15214
Tarascon,43.805,4.6594,15195
Rive-de-Gier,45.5294,4.6169,15105
Olonne-sur-Mer,46.5361,-1.7728,15061
Saint-Rambert,45.4994,4.24,15034
Bailleul,50.7375,2.7339,15019
Montesson,48.9086,2.1494,15013
Vesoul,47.6222,6.1553,14973
Saint-Avertin,47.3667,0.7267,14968
Verrières-le-Buisson,48.7475,2.2628,14941
La Flèche,47.6997,-0.0761,14902
Senlis,49.2072,2.5867,14891
Pontivy,48.0686,-2.9628,14889
Saint-Brice-sous-Forêt,48.9986,2.3569,14875
Guipavas,48.4336,-4.4008,14842
Valenton,48.745,2.4672,14837
Crépy-en-Valois,49.2344,2.8875,14796
Montargis,47.9969,2.7325,14789
Bouc-Bel-Air,43.4544,5.4144,14784
Flers,48.7483,-0.5694,14779
Haubourdin,50.6092,2.9869,14775
Trélazé,47.4461,-0.4664,14759
Coulommiers,48.8156,3.0836,14757
Wattignies,50.585,3.0431,14736
Bar-le-Duc,48.7717,5.1672,14733
Longwy,49.5197,5.7606,14730
Morlaix,48.5775,-3.8278,14729
Saint-Omer,50.7483,2.2608,14726
Le Raincy,48.8992,2.5231,14708
Tulle,45.2658,1.7722,14705
Illzach,47.7822,7.3481,14680
Mennecy,48.5653,2.4361,14679
Francheville,45.7364,4.7636,14656
Roquebrune-sur-Argens,43.4433,6.6378,14626
Méru,49.2358,2.135,14609
Hautmont,50.2481,3.9244,14601
Villers-lès-Nancy,48.6731,6.1547,14558
Wittenheim,47.8075,7.3369,14541
Caudry,50.125,3.4117,14487
Ramonville-Saint-Agne,43.5461,1.4756,14467
Pont-à-Mousson,48.9044,6.0542,14434
Château-d’Olonne,46.5042,-1.7372,14411
Arnouville-lès-Gonesse,48.9872,2.4167,14329
Romilly-sur-Seine,48.5158,3.7267,14328
Bois-Guillaume,49.47,1.1194,14309
Laxou,48.6856,6.1522,14300
Dinan,48.4556,-2.0503,14281
Lognes,48.8361,2.6278,14268
Canteleu,49.4511,1.0361,14244
Fameck,49.2992,6.1097,14243
Sainte-Maxime,43.3089,6.6378,14240
Chenôve,47.2911,5.0072,14216
Ambérieu-en-Bugey,45.9581,5.3578,14204
Saint-Jean-de-Luz,43.3903,-1.6597,14198
Plérin,48.5344,-2.7708,14158
Montmagny,48.9736,2.3458,14145
Saint-Brevin-les-Pins,47.2464,-2.1669,14118
Saint-Fargeau,48.5328,2.5447,14109
Rixheim,47.7486,7.4044,14071
Avrillé,47.5069,-0.5889,14065
Douarnenez,48.0922,-4.3303,14015
Saint-Maurice,48.8183,2.4347,14001
Woippy,49.1511,6.1514,13998
Biscarrosse,44.3931,-1.1639,13946
Auray,47.6678,-2.9825,13945
Castelsarrasin,44.04,1.1069,13934
Thouars,46.975,-0.2153,13932
Fleury-Mérogis,48.6294,2.3614,13917
Castanet-Tolosan,43.5156,1.4981,13811
Berck-sur-Mer,50.4083,1.5928,13791
Saint-Gilles,43.6778,4.4311,13787
Ollioules,43.1394,5.8469,13771
Gien,47.6981,2.625,13732
Argentan,48.7444,-0.0203,13730
Lons,43.315,-0.4108,13720
Mions,45.6631,4.9531,13665
Avon,48.4089,2.725,13662
Beausoleil,43.7419,7.4236,13576
Outreau,50.7039,1.5939,13575
Saint-Martin-de-Crau,43.6397,4.8125,13558
Tergnier,49.6558,3.2872,13547
Saint-Jacques-de-la-Lande,48.0903,-1.6956,13533
Berre-l’Étang,43.4756,5.1681,13520
Bollène,44.2803,4.7489,13509
Fontenay-le-Fleury,48.8136,2.0486,13494
Lys-lès-Lannoy,50.6714,3.2144,13471
Montataire,49.2556,2.4383,13461
Morangis,48.7064,2.3347,13453
Pierrelatte,44.3775,4.6961,13452
Saint-Paul-lès-Dax,43.7256,-1.0528,13436
Lieusaint,48.6322,2.5486,13410
Persan,49.1533,2.2711,13386
Vaires-sur-Marne,48.8742,2.6381,13383
Roncq,50.7536,3.1203,13361
